user_1138,weather tomorrow,Edge,Windows,social
user_2950,data science jobs,Safari,iOS,email
user_1924,machine learning course,Firefox,Android,ad
user_4373,best pizza near me,Firefox,MacOS,organic
user_3979,weather tomorrow,Firefox,MacOS,organic
user_849,weather tomorrow,Firefox,Android,social
user_3559,how to train a dog,Chrome,Windows,email
user_936,weather tomorrow,Safari,iOS,direct
user_3241,how to train a dog,Chrome,MacOS,direct
user_3069,machine learning course,Opera,Android,email
user_3152,weather tomorrow,Edge,Linux,direct
user_2797,flights to new york,Firefox,iOS,email
user_1854,weather tomorrow,Safari,iOS,organic
user_4324,data science jobs,Firefox,Android,ad
user_3522,python mapreduce tutorial,Opera,Linux,email
user_30,data science jobs,Opera,iOS,social
user_753,data science jobs,Opera,iOS,ad
user_3774,hadoop vs spark,Safari,Android,organic
user_4305,news today,Opera,Windows,email
user_1859,weather tomorrow,Chrome,Windows,organic
user_4278,machine learning course,Safari,Android,email
user_4664,buy shoes online,Firefox,Linux,ad
user_2141,machine learning course,Edge,iOS,social
user_4129,python mapreduce tutorial,Safari,Linux,ad
user_4945,buy shoes online,Chrome,Linux,email
user_282,flights to new york,Edge,MacOS,ad
user_2776,best pizza near me,Edge,iOS,email
user_1319,best pizza near me,Edge,Linux,organic
user_2375,how to train a dog,Safari,MacOS,social
user_686,how to train a dog,Safari,iOS,ad
user_2959,how to train a dog,Safari,Windows,social
user_919,python mapreduce tutorial,Edge,Windows,ad
user_3939,weather tomorrow,Opera,Windows,ad
user_231,data science jobs,Opera,Android,email
user_1291,buy shoes online,Safari,Windows,ad
user_3158,hadoop vs spark,Chrome,iOS,direct
user_2588,how to train a dog,Chrome,Android,direct
user_4466,weather tomorrow,Safari,Windows,direct
user_4274,how to train a dog,Edge,Android,email
user_3976,hadoop vs spark,Opera,Windows,organic
user_1487,hadoop vs spark,Firefox,MacOS,organic
user_4254,python mapreduce tutorial,Edge,Android,ad
user_4999,best pizza near me,Chrome,Linux,direct
user_2354,python mapreduce tutorial,Chrome,iOS,social
user_4690,python mapreduce tutorial,Firefox,Linux,email
user_4320,machine learning course,Firefox,Android,ad
user_1349,news today,Opera,Linux,social
user_551,data science jobs,Safari,Linux,ad
user_4887,data science jobs,Opera,MacOS,social
user_2399,weather tomorrow,Chrome,Windows,direct
user_2806,how to train a dog,Edge,MacOS,ad
user_4642,machine learning course,Chrome,Android,social
user_3930,news today,Opera,Windows,organic
user_3571,machine learning course,Chrome,Android,email
user_4176,buy shoes online,Firefox,Windows,direct
user_3025,news today,Firefox,iOS,direct
user_1862,how to train a dog,Opera,Linux,ad
user_1648,news today,Firefox,Linux,email
